Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
guanosine;guanosine;guanosine;–;–;–;HMDB0000133;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;168,7272727273;112,3636363636;1,501618123;0,4394342595;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;54;;
ornithine;ornithine;ornithine;–;–;–;HMDB0000214;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;197,29;145,11;1,3595892771;0,043;–;–;ROC analysis;–;0,603;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;55;;
uridine;uridine;uridine;–;–;–;HMDB0000296;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;218;230,7272727273;0,9448384555;0,9981133161;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;56;;
2-deoxyribonic acid;2-deoxyribonic acid;2-deoxyribonic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;219;302,0909090909;0,7249473367;0,5302363905;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;57;;
arginine;arginine;arginine;–;–;–;HMDB0000517;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;224,94;119,51;1,8821855912;0,001;–;–;ROC analysis;–;0,907;–;–;–;–;–;–;–;–;China;Y;–;31258653;Ni et al. 2019;58;;
2-deoxyribonic acid;2-deoxyribonic acid;2-deoxyribonic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;225,6111111111;292,1;0,7723762791;0,2601908497;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;59;;
uridine;uridine;uridine;–;–;–;HMDB0000296;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;234,4444444444;215,25;1,0891727965;0,2782919984;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;60;;
2-oxogluconic acid;2-oxogluconic acid;2-oxogluconic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;236,3636363636;285,5454545455;0,8277618593;0,1146938629;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;61;;
N-acetyl-D-mannosamine;N-acetyl-D-mannosamine;N-acetyl-D-mannosamine;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;255,5555555556;278,25;0,9184386543;0,3564105485;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;62;;
N-acetyl-D-mannosamine;N-acetyl-D-mannosamine;N-acetyl-D-mannosamine;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;260,7272727273;274,1818181818;0,950928382;0,153847297;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;63;;
2-oxogluconic acid;2-oxogluconic acid;2-oxogluconic acid;NIST;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;271,7222222222;251,5;1,0804064502;0,28932853;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;64;;
glutaric acid;glutaric acid;glutaric acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;272,4545454545;977,4545454545;0,2787388393;0,1808306633;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;65;;
glycine;glycine;glycine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;324,88;364,36;0,8916456252;0,007;–;–;ROC analysis;–;0,267;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;66;;
glycerol-beta-phosphate;glycerol-beta-phosphate;glycerol-beta-phosphate;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;350,2727272727;336,4545454545;1,0410699811;0,3335960602;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;67;;
glucose-6-phosphate;glucose-6-phosphate;glucose-6-phosphate;–;–;–;HMDB0001401;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;359,9090909091;379,2727272727;0,94894535;0,5198041862;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;68;;
glucose-6-phosphate;glucose-6-phosphate;glucose-6-phosphate;–;–;–;HMDB0001401;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;366,6666666667;372,25;0,9850011193;0,5191088846;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;69;;
glycerol-beta-phosphate;glycerol-beta-phosphate;glycerol-beta-phosphate;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;369,9444444444;319,15;1,1591553954;0,2780452689;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;70;;
2-aminoadipic acid;2-aminoadipic acid;2-aminoadipic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;378,3888888889;429;0,882025382;0,0777617538;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;71;;
erythrose;erythrose;erythrose;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;397,7777777778;420,3;0,9464139371;0,2806432775;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;72;;
2-aminoadipic acid;2-aminoadipic acid;2-aminoadipic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;407,0909090909;403;1,0101511392;0,4962615218;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;73;;
glycine;glycine;glycine;–;–;–;–;–;–;–;–;–;–;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;SIMCA-P, SPSS;Mann-Whitney U test, Student's t-test, Welch's F test ;408,8;407,44;1,0033379148;0,605;–;–;ROC analysis;–;0,467;–;–;–;–;–;–;–;–;China;–;–;31258653;Ni et al. 2019;74;;
3,6-anhydrogalactose;3,6-anhydrogalactose;3,6-anhydrogalactose;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;411,4545454545;439,3636363636;0,9364783778;0,440680733;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;75;;
3,6-anhydrogalactose;3,6-anhydrogalactose;3,6-anhydrogalactose;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;417,7222222222;432,4;0,966055093;0,4856691057;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;76;;
erythrose;erythrose;erythrose;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;423,4545454545;395,8181818182;1,0698208544;0,4217749282;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;77;;
aconitic acid;aconitic acid;aconitic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;427,5555555556;510;0,8383442266;0,0303872806;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;78;;
xanthine;xanthine;xanthine;–;–;–;HMDB0000292;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;438,6363636364;541,8181818182;0,8095637584;0,1786380352;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;79;;
inositol-4-monophosphate;inositol-4-monophosphate;inositol-4-monophosphate;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;447,3888888889;425,65;1,0510722163;0,453422558;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;80;;
aconitic acid;aconitic acid;aconitic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;479,0909090909;462,7272727273;1,0353634578;0,8085373655;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;81;;
inositol-4-monophosphate;inositol-4-monophosphate;inositol-4-monophosphate;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;484,5454545455;387,3636363636;1,2508800751;0,102295819;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;82;;
kynurenine;kynurenine;kynurenine;–;–;–;HMDB0000684;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;500,4545454545;965,8181818182;0,5181664157;0,1795190921;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;83;;
cysteine-glycine;cysteine-glycine;cysteine-glycine;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;518,8333333333;660,05;0,7860515618;0,5009661589;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;84;;
azelaic acid;azelaic acid;azelaic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;545,6363636364;4671,4545454546;0,1168022419;0,3438473931;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;85;;
alpha-ketoglutaric acid;alpha-ketoglutaric acid;alpha-ketoglutaric acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;564,0909090909;653,5454545455;0,8631242176;0,3040532989;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;86;;
xanthine;xanthine;xanthine;–;–;–;HMDB0000292;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;571,7222222222;417,15;1,3705435029;0,1088355109;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;87;;
isolinoleic acid;isolinoleic acid;isolinoleic acid;NIST;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;575,2222222222;571,65;1,0062489674;0,8016041385;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;88;;
1-monostearin;1-monostearin;1-monostearin;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;604;597,8;1,0103713617;0,9966753621;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;89;;
isolinoleic acid;isolinoleic acid;isolinoleic acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;609,2727272727;537,3636363636;1,1338183049;0,5076454385;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;90;;
glutaric acid;glutaric acid;glutaric acid;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;635,8888888889;614,75;1,0343861552;0,5308456916;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;91;;
sucrose;sucrose;sucrose;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;646,7222222222;1363,2;0,4744147757;0,2908853037;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;92;;
1-monostearin;1-monostearin;1-monostearin;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;652;549,7272727273;1,1860426658;0,3264787762;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;93;;
glycerol-3-galactoside;glycerol-3-galactoside;glycerol-3-galactoside;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;654,5555555556;817,75;0,8004347974;0,29883954;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;94;;
monopalmitin-1-glyceride;monopalmitin-1-glyceride;monopalmitin-1-glyceride;–;–;–;–;–;–;–;–;–;–;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;–;Analysis of Covariance;664,4545454545;565,6363636364;1,174702668;0,8475610689;–;–;–;–;–;–;–;–;–;–;–;–;–;US;–;MetaMapp mapping;25859693;Miyamoto et al. 2015;95;;
